"Placette" "date_du_releve" "Agrostis_canina" "Agrostis_stolonifera" "Angelica_sylvestris" "Athyrium_filix_femina" "Aulacomnium_palustre" "Betula_pubescens" "Bidens_cernua_/_connata" "Bidens_tripartita" "Calliergonella_cuspidata" "Callitriche_sp" "Callitriche_stagnalis" "Calluna_vulgaris" "Campylopus_sp" "Cardamine_pratensis" "Carex_canescens" "Carex_nigra" "Carex_paniculata" "Carex_rostrata" "Cirsium_palustre" "Comarum_palustre" "Cyperus_fuscus" "Dicranum_scoparium" "Dosera_rotundifolia" "Dryopteris_carthusiana" "Epilobium_palustre" "Epilobium_tetragonum" "Equisetum_fluviatile" "Erica_tetralix" "Eriophorum_angustifolium" "Eriophorum_vaginatum" "Eryophorum_angustifolium" "Eupatorium_cannabinum" "Frangula_alnus" "Galium_palustre" "Hydrocotyle_vulgaris" "Hypnum_jutlandicum" "Juncus_bulbosus" "Juncus_effusus_conglomeratus" "Kindbergia_praelonga" "lemna_minor" "Lemna_minor" "Lotus_uliginosus" "Lychnis_flos_cuculi" "Lycopus_europaeus" "Lysimachia_vulgaris" "Lythrum_portula" "Menyanthes_trifoliata" "Molinia_caerulea" "Myosotis_sp" "Pleurozium_schreberi" "Poa_trivialis" "Polytrichum_strictum" "Potamogeton_polygonifolius" "PseudoPseudoscleropodium_purum" "Quercus_robur" "Ranunculus_flammula" "Ranunculus_repens" "Riccia_fluitans" "Rubus_fructicosus" "Rubus_sp" "Salix_atrocinerea" "Salix_aurita" "Solanum_dulcamara" "Sphagnum_capillifolium" "Sphagnum_sp" "Vaccinium_oxycoccos" "Wahlenbergia"
"1" "P1" "12" "0" NA NA NA NA NA NA NA NA NA "+" NA NA NA "0" NA "0" "2" NA NA NA NA NA NA "+" NA NA NA "1" NA NA NA "+" "0" "2" NA "0" "4" NA NA "+" NA NA "0" "1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "+" NA NA NA "0" NA NA
"2" "P1" "13" "0" NA NA NA NA NA NA NA NA NA "0" NA NA NA "0" NA "1" "2" NA NA NA NA NA NA "2" NA NA NA "0" NA NA NA "+" "+" "3" NA "1" "3" NA NA "0" NA NA "1" "1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "2" NA NA NA "0" NA NA
"3" "P1" "14" "0" NA NA NA NA NA NA NA NA NA "0" NA NA NA "0" NA "2" "2" NA NA NA NA NA NA "2" NA NA NA "1" NA NA NA "1" "+" "4" NA "2" "4" NA NA "0" NA NA "1" "2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "2" NA NA NA "0" NA NA
"4" "P1" "15" "+" NA NA NA NA NA NA NA NA NA "0" NA NA NA "+" NA "2" "2" NA NA NA NA NA NA "1" NA NA NA "0" NA NA NA "+" "1" "3" NA "1" "4" NA NA "0" NA NA "1" "2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "+" NA NA NA "+" NA NA
"5" "P1" "16" "+" NA NA NA NA NA NA NA NA NA "0" NA NA NA "+" NA "2" "2" NA NA NA NA NA NA "1" NA NA NA "0" NA NA NA "0" "+" "2" NA "1" "4" NA NA "0" NA NA "1" "2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "+" NA NA NA "+" NA NA
"6" "P1" "17" "0" NA NA NA NA NA NA NA NA NA "0" NA NA NA "1" NA "1" "2" NA NA NA NA NA NA "2" NA NA NA "1" NA NA NA "0" "+" "3" NA "2" "4" NA NA "+" NA NA "2" "3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1" NA NA NA "+" NA NA
"7" "P1" "19" "0" NA NA NA NA NA NA NA NA NA "0" NA NA NA "2" NA "1" "2" NA NA NA NA NA NA "+" NA NA NA "+" NA NA NA "0" "+" "1" NA "0" "3" NA NA "+" NA NA "1" "1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA NA "+" NA NA
"8" "P1" "21" "0" NA NA NA NA NA NA NA NA NA "0" NA NA NA "0" NA "2" "0" NA NA NA NA NA NA "0" NA NA NA "0" NA NA NA "0" "0" "1" NA "0" "3" NA NA "0" NA NA "+" "+" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA NA "0" NA NA
"9" "P2" "12" "0" NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA "2" NA NA NA NA NA NA "1" "0" NA "1" "0" NA NA NA "0" "0" "2" NA NA "4" NA NA NA NA NA "0" "0" NA "1" "+" NA NA NA NA NA NA "0" NA NA NA NA NA "1" NA NA NA "5" NA NA
"10" "P2" "13" "0" NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA "2" NA NA NA NA NA NA "2" "0" NA "1" "0" NA NA NA "0" "0" "2" NA NA "5" NA NA NA NA NA "0" "0" NA "2" "+" NA NA NA NA NA NA "0" NA NA NA NA NA "2" NA NA NA "5" NA NA
