date_du_releve	Jul-12	Jul-13	Jul-14	Jul-15	Jun-17	Jun-19	Jun-22
code_CORINE_habitat	54.422	54.422					
code_EUR_15_habitat	71.40	71.40					
surface_du_releve_(R_en_m)	3	3	3	3	3	3	3
hauteur_de_vegetation_(cm)	110	110	80	110	120	120	130
recouvrement_total_%	100	98	100	100	85	85	95
recouvrement_ligneux_bas_%	5	5	10	10	5	2	15
hauteur_strate_ligneuse_basse_(cm)	50	50	70	80	80	80	90
recouvrement_ligneux_haut_%	5	2	5				
hauteur_strate_ligneuse_haute_(cm)	130	50	110				
recouvrement_herbacee_%	80	95	95	90	85	85	80
hauteur_strate_herbacee_(cm)	110	110	80	110	120	120	130
recouvrement_muscinal_%	60	40	75	50	40	40	60
hauteur_strate_muscinale_(cm)	30	30	30	20	20	25	30
hauteur_eau_libre_(cm)						20	
nombre_d_especes	17	15	15	16	15	10	15
Rubus_fructicosus	0	0	+	1	+	+	+
Frangula_alnus	+	+	1	1	+	1	+
Erica_tetralix	2	1	1	1	1	1	1
Betula_pubescens	+	0	0	0	0	0	+
Salix_atrocinerea	1	+	1	1	1	0	0
Salix_aurita	+	0	0	0	0	0	0
Calluna_vulgaris	1	+	+	1	1	1	2
Lychnis_flos_cuculi	0	0	0	+	0	0	0
Molinia_caerulea	3	3	3	4	3	3	4
Carex_nigra	0	0	2	2	1	2	2
Carex_rostrata	2	2	2	2	2	0	2
Carex_canescens	2	1	1	1	0	0	1
Carex_paniculata	1	1	1	2	2	2	2
Juncus_effusus_conglomeratus	3	3	3	2	2	2	2
Hydrocotyle_vulgaris	2	3	4	3	3	2	2
Lysimachia_vulgaris	+	+	+	+	1	0	1
Epilobium_tetragonum	0	0	0	0	+	0	0
Epilobium_palustre	+	+	+	+	1	0	+
Sphagnum_sp	5	4	4	4	3	3	4
Aulacomnium_palustre	+	1	0	0	0	0	0
Sphagnum_capillifolium	+	+	0	0	0	0	0
