Debut	Fin	Code	NDVI_moyen_BV	NDVI_minimum_BV	NDVI_maximum_BV	NDVI_moyen_Tourbiere_Landemarais	NDVI_minimum_Tourbiere_Landemarais	NDVI_maximum_Tourbiere_Landemarais	NDVI_moyen_Marais_Sougeal	NDVI_minimum_Marais_Sougeal	NDVI_maximum_Marais_Sougeal															
2022-01-01	2022-01-16	1	0,686	-0,128	0,994	0,708	0,689	0,733	0,54	-0,128	0,802															
2022-01-17	2022-02-01	17	0,685	0,172	0,995	0,619	0,561	0,697	0,755	0,621	0,86															
2022-02-02	2022-02-17	33	0,681	0,285	0,878	0,697	0,672	0,725	0,712	0,559	0,82															
2022-02-18	2022-03-05	49	0,701	0,236	0,879	0,694	0,666	0,729	0,752	0,655	0,817															
2022-03-06	2022-03-21	65	0,681	0,153	0,878	0,704	0,641	0,748	0,733	0,629	0,794															
2022-03-22	2022-04-06	81	0,699	0,162	0,896	0,66	0,604	0,739	0,782	0,635	0,865															
2022-04-07	2022-04-22	97	0,706	0,175	0,905	0,667	0,608	0,745	0,794	0,65	0,848															
2022-04-23	2022-05-08	113	0,663	0,123	0,925	0,72	0,631	0,777	0,821	0,654	0,901															
2022-05-09	2022-05-24	129	0,656	0,164	0,947	0,734	0,682	0,788	0,793	0,728	0,88															
2022-05-25	2022-06-09	145	0,669	0,051	0,996	0,761	0,757	0,769	0,772	0,693	0,841															
2022-06-10	2022-06-25	161	0,663	0,065	0,93	0,745	0,723	0,775	0,74	0,616	0,829															
2022-06-26	2022-07-11	177	0,659	0,056	0,931	0,788	0,746	0,853	0,695	0,615	0,786															
2022-07-12	2022-07-27	193	0,567	0,23	0,923	0,726	0,63	0,781	0,581	0,478	0,671															
2022-07-28	2022-08-12	209	0,547	0,16	0,924	0,716	0,68	0,757	0,549	0,449	0,661															
2022-08-13	2022-08-28	225	0,599	0,165	0,928	0,653	0,591	0,698	0,651	0,533	0,717															
2022-08-29	2022-09-13	241	0,626	0,142	0,942	0,781	0,746	0,828	0,672	0,534	0,792															
2022-09-14	2022-09-29	257	0,594	0,132	0,888	0,664	0,568	0,727	0,717	0,595	0,78															
2022-09-30	2022-10-15	273	0,69	0,128	0,956	0,734	0,68	0,781	0,817	0,669	0,847															
2022-10-16	2022-10-31	289	0,708	0,186	0,959	0,755	0,715	0,788	0,81	0,748	0,836															
2022-11-01	2022-11-16	305	0,725	0,244	0,961	0,776	0,749	0,795	0,83	0,756	0,869															
2022-11-17	2022-12-02	321	0,74	0,284	0,891	0,767	0,727	0,797	0,832	0,779	0,871															
2022-12-03	2022-12-18	337	0,719	0,228	0,9	0,741	0,674	0,78	0,791	0,745	0,832															
2022-12-19	2022-01-03	353	0,707	0,047	0,942	0,705	0,662	0,765	0,769	0,7	0,818															
2021-01-01	2021-01-16	1	0,675	0,054	0,993	0,584	0,514	0,621	0,51	0,254	0,737															
2021-01-17	2021-02-01	17	0,659	0,074	0,967	0,605	0,536	0,668	0,642	0,302	0,805															
2021-02-02	2021-02-17	33	0,668	0,138	0,994	0,633	0,554	0,715	0,668	0,449	0,778															
2021-02-18	2021-03-05	49	0,667	0,201	0,877	0,661	0,572	0,762	0,693	0,595	0,751															
2021-03-06	2021-03-21	65	0,676	0,146	0,886	0,685	0,632	0,723	0,726	0,612	0,806															
2021-03-22	2021-04-06	81	0,676	0,126	0,876	0,678	0,606	0,732	0,734	0,631	0,818															
2021-04-07	2021-04-22	97	0,686	0,204	0,924	0,669	0,642	0,716	0,767	0,616	0,835															
2021-04-23	2021-05-08	113	0,64	0,112	0,95	0,705	0,632	0,728	0,762	0,637	0,848															
2021-05-09	2021-05-24	129	0,683	0,073	0,999	0,668	0,541	0,773	0,802	0,71	0,889															
2021-05-25	2021-06-09	145	0,708	0,201	0,941	0,851	0,824	0,89	0,838	0,765	0,878															
2021-06-10	2021-06-25	161	0,633	0,177	0,931	0,761	0,622	0,852	0,785	0,684	0,822															
2021-06-26	2021-07-11	177	0,683	0,143	0,934	0,775	0,672	0,851	0,791	0,724	0,831															
2021-07-12	2021-07-27	193	0,736	0,244	0,976	0,789	0,721	0,849	0,795	0,737	0,834															
2021-07-28	2021-08-12	209	0,727	0,053	0,999	0,843	0,822	0,866	0,842	0,722	0,906															
2021-08-13	2021-08-28	225	0,772	0,18	0,928	0,782	0,74	0,808	0,816	0,773	0,88															
2021-08-29	2021-09-13	241	0,746	0,215	0,919	0,762	0,677	0,826	0,802	0,734	0,84															
2021-09-14	2021-09-29	257	0,735	0,08	0,998	0,782	0,74	0,817	0,794	0,451	0,894															
2021-09-30	2021-10-15	273	0,731	0,236	0,925	0,813	0,783	0,84	0,825	0,78	0,858															
2021-10-16	2021-10-31	289	0,674	0,222	0,898	0,781	0,731	0,804	0,783	0,693	0,821															
2021-11-01	2021-11-16	305	0,651	0,169	0,878	0,706	0,605	0,759	0,782	0,726	0,882															
2021-11-17	2021-12-02	321	0,656	0,189	0,87	0,694	0,671	0,728	0,758	0,627	0,807															
2021-12-03	2021-12-18	337	0,645	0,185	0,971	0,73	0,668	0,802	0,666	0,494	0,781															
