"Date","RH2M","T2M","TS","T2M_MAX","T2M_MIN"
1982-01-01,91,6.05,5.42,9.2,2.57
1982-01-02,96.5,9.73,9.32,13.47,5.52
1982-01-03,95.62,8.78,8.57,11.96,6.44
1982-01-04,93.75,10.93,10.35,12.44,10.02
1982-01-05,94.56,10.58,10.06,12.76,8.99
1982-01-06,93,5.88,5.66,9.48,-0.58
1982-01-07,76.94,-1.97,-2.06,-0.91,-2.8
1982-01-08,97.88,6.98,6.17,10.05,-1.45
1982-01-09,98.69,8.47,7.61,12.86,5.41
1982-01-10,97.38,5.93,5.72,8.75,1.75
1982-01-11,93.5,3.23,3.15,7.88,-4.02
1982-01-12,83.12,-2.9,-3.12,1.97,-5.35
1982-01-13,88.12,-3.41,-3.42,1.25,-5.52
1982-01-14,91.88,-0.32,-0.3,4.05,-3.98
1982-01-15,98.44,4.06,3.68,8.55,0.54
1982-01-16,97.81,7.37,6.88,11.58,4.88
1982-01-17,97.62,7.49,7.23,11.86,5.07
1982-01-18,95.5,7.76,7.49,11.42,5.38
1982-01-19,98.06,7.46,7.12,10.39,5.8
1982-01-20,95.88,7.65,7.12,11.13,4.75
1982-01-21,91.19,6.65,6.09,10.06,3.48
1982-01-22,93,6.23,5.73,9.08,1.63
1982-01-23,91.88,4.86,4.39,8.33,1.05
1982-01-24,92.38,6.19,5.87,10.45,4.15
1982-01-25,96.69,7.04,6.8,10.64,4.17
1982-01-26,90.69,7.73,7.4,9.79,6.32
1982-01-27,81.75,4.19,3.69,6.87,-0.11
1982-01-28,88.44,3.2,2.6,7.33,-1.99
1982-01-29,93.94,8.55,8.23,11.64,6.65
1982-01-30,92.75,7.86,7.62,10.08,6.33
1982-01-31,95.44,7.18,6.93,10.65,5.38
1982-02-01,92.12,6.62,6.43,9.28,3.36
1982-02-02,90.38,3.93,3.91,7.39,0.83
1982-02-03,92.56,6.55,6.39,11.55,3.86
1982-02-04,93.81,8.2,7.97,13.04,5.62
1982-02-05,95.19,8.47,8.22,11.54,6.69
1982-02-06,91.75,7.82,7.27,13.03,3.54
1982-02-07,96.75,6.96,6.94,10.55,3.96
1982-02-08,93.94,6.32,6.22,10.05,4.48
1982-02-09,92.12,8.05,7.91,12.41,4.7
1982-02-10,91.38,7.13,7.08,13.55,3.55
1982-02-11,95.38,7.83,7.21,11.82,4.64
1982-02-12,93.31,7.48,7.27,13.45,2.71
1982-02-13,92.44,7.69,7.15,10.25,3.32
1982-02-14,90,5.36,4.92,8.92,1.3
1982-02-15,84.12,4.33,4.35,9.12,1.7
1982-02-16,88.88,2.98,2.87,5.94,0.87
1982-02-17,96.12,1.69,1.6,3.09,0.36
1982-02-18,90.06,5.38,5.21,10.66,1.85
1982-02-19,90,4.76,4.59,10.47,0.96
1982-02-20,86.19,2.51,2.73,7.3,-1.89
1982-02-21,86.12,1.02,0.97,6.62,-2.99
1982-02-22,94.88,2.71,2.65,6.37,0.45
1982-02-23,86.19,2.51,2.35,7.77,-2.17
1982-02-24,86.75,2.48,2.62,7.37,-2.11
1982-02-25,92.25,3.01,2.77,7.4,1.28
1982-02-26,98.19,4.98,4.36,7.73,1.65
1982-02-27,95.75,9.33,8.96,15.43,4.87
1982-02-28,93.44,10.74,10.57,13.61,7.81
1982-03-01,85.62,10.15,9.9,12.86,7.2
1982-03-02,88.56,7.8,7.63,10.81,5.26
1982-03-03,89.38,9.93,9.58,12.2,6.87
1982-03-04,88.19,5.88,5.64,8.58,2.58
1982-03-05,83.75,5.88,5.79,11.3,1.52
1982-03-06,83.31,4.25,4.13,9.07,-1.28
1982-03-07,92.19,4.01,3.83,6.49,-1.24
1982-03-08,87.44,2.58,2.48,7.49,-3.42
1982-03-09,85.44,6.08,6.05,10.28,0.8
1982-03-10,90.5,9.47,9.12,13.45,5.98
1982-03-11,80.25,6.59,6.31,10.37,2.49
1982-03-12,83.56,7.18,6.91,9.73,4.11
1982-03-13,84.56,5.68,5.59,10.11,2.28
1982-03-14,88.38,7.4,7.35,11.37,2.49
1982-03-15,88.12,7.65,7.48,11.66,4.43
1982-03-16,88.62,5.93,5.71,9.4,2.8
1982-03-17,86.5,6.02,5.99,10.11,2.87
1982-03-18,81.75,5.79,5.8,10.05,2.47
1982-03-19,90.75,7.5,7.2,12.65,3.43
1982-03-20,85.19,7.3,7.16,10.67,4.76
1982-03-21,95.19,5.18,4.82,5.79,3.63
1982-03-22,86.25,8.23,8.37,12.86,3.89
1982-03-23,80.56,7.12,7.44,13.15,2.24
